DienTich,Phongngu,PhongTam,GiayTo,Loai,HuongCuaChinh,TinhTrangNoiThat,DiaChi,Gia,SoTang,DacDiem
30 m²,3 phòng,4 phòng,,"Nhà ngõ, hẻm",,,"Phố Ngọc Trì, Phường Thạch Bàn, Quận Long Biên, Hà NộiXem bản đồ","2,9 tỷ - 30 m2",5,
25 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,,"Phố 8.3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà NộiXem bản đồ","4,1 tỷ - 25 m2",5,
38 m²,4 phòng,,,"Nhà ngõ, hẻm",,,"Phố Chu Huy Mân, Phường Phúc Đồng, Quận Long Biên, Hà NộiXem bản đồ","6,5 tỷ - 38 m2",6,
40 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Song Phương, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà NộiXem bản đồ","1,98 tỷ - 40 m2",3,
30 m²,3 phòng,3 phòng,Đã có sổ,Nhà phố liền kề,,Nhà trống,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Hà NộiXem bản đồ","1,9 tỷ - 30 m2",4,
40 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Hoàng Quốc Việt, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà NộiXem bản đồ","5,7 tỷ - 40 m2",,
40 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Tân Triều, Xã Tân Triều, Huyện Thanh Trì, Hà NộiXem bản đồ","4,8 tỷ - 40 m2",,
44 m²,3 phòng,5 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"Ngõ 218 Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà NộiXem bản đồ","6,35 tỷ - 44 m2",6,Nở hậu
30 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Yên Nghĩa, Phường Yên Nghĩa, Quận Hà Đông, Hà NộiXem bản đồ","2,1 tỷ - 30 m2",5,
35 m²,4 phòng,5 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà NộiXem bản đồ","6,1 tỷ - 35 m2",,
45 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Hoa Bằng, Phường Yên Hoà, Quận Cầu Giấy, Hà NộiXem bản đồ","8,6 tỷ - 45 m2",,"Hẻm xe hơi,Nở hậu"
90 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Ngõ 6 Đội Nhân, Phường Vĩnh Phúc, Quận Ba Đình, Hà NộiXem bản đồ",15 tỷ - 90 m2,4,
80 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Hồng Hà, Phường Phúc Tân, Quận Hoàn Kiếm, Hà NộiXem bản đồ","5,555555555 tỷ - 80 m2",3,
43 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Phố Kim Đồng, Phường Giáp Bát, Quận Hoàng Mai, Hà NộiXem bản đồ","5,2 tỷ - 43 m2",,
55 m²,4 phòng,,Đã có sổ,Nhà biệt thự,,,"Kim Ngưu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà NộiXem bản đồ","9,3 tỷ - 55 m2",,Nở hậu
45 m²,3 phòng,,,"Nhà ngõ, hẻm",,,"Lê Duẩn , Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","4,95 tỷ - 45 m2",5,
55 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Tứ Liên, Phường Tứ Liên, Quận Tây Hồ, Hà NộiXem bản đồ","12,5 tỷ - 55 m2",6,
60 m²,5 phòng,4 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",Tây Nam,,"Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà NộiXem bản đồ",8 tỷ - 60 m2,6,
30 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",Bắc,,"302, Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà NộiXem bản đồ","4,35 tỷ - 30 m2",5,
33 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà NộiXem bản đồ",3 tỷ - 33 m2,,
38 m²,3 phòng,5 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Phố Đàm Quang Trung, Phường Long Biên, Quận Long Biên, Hà NộiXem bản đồ","6,5 tỷ - 38 m2",6,
50 m²,4 phòng,4 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất cao cấp,"Đường Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà NộiXem bản đồ",28 tỷ - 50 m2,6,
35 m²,3 phòng,3 phòng,,"Nhà ngõ, hẻm",Đông Nam,Nội thất cao cấp,"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà NộiXem bản đồ","3,35 tỷ - 35 m2",4,
45 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà NộiXem bản đồ","5,05 tỷ - 45 m2",5,
35 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,,"Đường Tả Thanh Oai, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà NộiXem bản đồ","3,99 tỷ - 35 m2",4,
50 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Trường Chinh, Phường Khương Thượng, Quận Đống Đa, Hà NộiXem bản đồ",7 tỷ - 50 m2,,
46 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"Đường Giáp Bát, Phường Giáp Bát, Quận Hoàng Mai, Hà NộiXem bản đồ","5,1 tỷ - 46 m2",3,
30 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"đường la Phù, Xã La Phù, Huyện Hoài Đức, Hà NộiXem bản đồ","2,3 tỷ - 30 m2",,
45 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Cầu Giấy, Phường Yên Hoà, Quận Cầu Giấy, Hà NộiXem bản đồ","5,1 tỷ - 45 m2",4,
54 m²,6 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà NộiXem bản đồ",15 tỷ - 54 m2,6,
31 m²,5 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ,"Vương Thừa Vũ, Phường Khương Mai, Quận Thanh Xuân, Hà NộiXem bản đồ","4,6 tỷ - 31 m2",5,
31 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"Kim Giang, Xã Thanh Liệt, Huyện Thanh Trì, Hà NộiXem bản đồ","3,75 tỷ - 31 m2",4,
37 m²,3 phòng,,,"Nhà ngõ, hẻm",,,"Ngõ 344, Phường Ngọc Thụy, Quận Long Biên, Hà NộiXem bản đồ","3,18 tỷ - 37 m2",,
100 m²,2 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ,"Phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà NộiXem bản đồ",50 tỷ - 100 m2,,Nở hậu
34 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà NộiXem bản đồ","3,5 tỷ - 34 m2",5,
80 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"800A, Phường Nghĩa Đô, Quận Cầu Giấy, Hà NộiXem bản đồ",16 tỷ - 80 m2,5,
50 m²,9 phòng,,,"Nhà ngõ, hẻm",,,"Phố Xã Đàn, Phường Phương Liên, Quận Đống Đa, Hà NộiXem bản đồ","5,8 tỷ - 50 m2",,
65 m²,2 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ,"Phố Ô Chợ Dừa, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","32,5 tỷ - 65 m2",,Nở hậu
50 m²,9 phòng,,,"Nhà ngõ, hẻm",,,"Phố Xã Đàn, Phường Phương Liên, Quận Đống Đa, Hà NộiXem bản đồ","5,8 tỷ - 50 m2",,
65 m²,2 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ,"Phố Ô Chợ Dừa, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","32,5 tỷ - 65 m2",,Nở hậu
40 m²,3 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà NộiXem bản đồ","5,2 tỷ - 40 m2",5,
75 m²,6 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",Đông Bắc,Nội thất đầy đủ,"Lê Văn Lương, Phường Vạn Phúc, Quận Hà Đông, Hà NộiXem bản đồ","11,2 tỷ - 75 m2",5,
46 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Nguyễn Phúc Lai, Phường Láng Hạ, Quận Đống Đa, Hà NộiXem bản đồ","12,5 tỷ - 46 m2",,Hẻm xe hơi
40 m²,1 phòng,1 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,Nhà trống,"Tranh Khúc, Xã Duyên Hà, Huyện Thanh Trì, Hà NộiXem bản đồ","1,3 tỷ - 40 m2",,
50 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,,"đường cổ điển a, Xã Tứ Hiệp, Huyện Thanh Trì, Hà NộiXem bản đồ","32,32 tỷ - 50 m2",4,
176 m²,nhiều hơn 10 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ,"Phố Quảng An, Phường Quảng An, Quận Tây Hồ, Hà NộiXem bản đồ",100 tỷ - 176 m2,,Nở hậu
74 m²,2 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ,"Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà NộiXem bản đồ",47 tỷ - 74 m2,,Nở hậu
50 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Cầu Tó, Xã Tả Thanh Oai, Huyện Thanh Trì, Hà NộiXem bản đồ","3,1 tỷ - 50 m2",5,
35 m²,3 phòng,4 phòng,,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ,"Trần cung, Phường Nghĩa Tân, Quận Cầu Giấy, Hà NộiXem bản đồ","4,1 tỷ - 35 m2",5,
195 m²,2 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ,"Phố Tôn Đức Thắng, Phường Cát Linh, Quận Đống Đa, Hà NộiXem bản đồ",67 tỷ - 195 m2,,Nở hậu
29 m²,2 phòng,,,"Nhà ngõ, hẻm",,,"Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà NộiXem bản đồ","3,3 tỷ - 29 m2",,
23 m²,2 phòng,,,"Nhà ngõ, hẻm",,,"linh quang, Phường Khâm Thiên, Quận Đống Đa, Hà NộiXem bản đồ","2,55 tỷ - 23 m2",,
37 m²,1 phòng,,,"Nhà ngõ, hẻm",,,"nguyen khanh toàn, Phường Nghĩa Tân, Quận Cầu Giấy, Hà NộiXem bản đồ","3,7 tỷ - 37 m2",,
42 m²,3 phòng,,,"Nhà ngõ, hẻm",,,"hoàng hoa thám, Phường Đội Cấn, Quận Ba Đình, Hà NộiXem bản đồ","5,1 tỷ - 42 m2",,
45 m²,3 phòng,,,"Nhà ngõ, hẻm",,,"vĩnh phúc, Phường Đội Cấn, Quận Ba Đình, Hà NộiXem bản đồ","4,5 tỷ - 45 m2",,
56 m²,5 phòng,,,"Nhà ngõ, hẻm",,,"Ngõ 214 Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà NộiXem bản đồ","6,2 tỷ - 56 m2",,
40 m²,3 phòng,,,"Nhà ngõ, hẻm",,,"Phố Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà NộiXem bản đồ","3,555 tỷ - 40 m2",,
35 m²,4 phòng,,,"Nhà ngõ, hẻm",,,"Ngõ Văn Chương, Phường Khâm Thiên, Quận Đống Đa, Hà NộiXem bản đồ","4,5 tỷ - 35 m2",,
43 m²,4 phòng,,,"Nhà ngõ, hẻm",,,"Ngõ Quan Thổ 1, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","4,65 tỷ - 43 m2",,
38 m²,4 phòng,,,"Nhà ngõ, hẻm",,,"38 lệnh cư, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","3,98 tỷ - 38 m2",,
35 m²,2 phòng,,,"Nhà ngõ, hẻm",,,"ngõ trại tóc, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","3,3 tỷ - 35 m2",,
45 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà NộiXem bản đồ","4,8 tỷ - 45 m2",4,
48 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà NộiXem bản đồ","5,6 tỷ - 48 m2",4,
42 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà NộiXem bản đồ","5,07 tỷ - 42 m2",5,
40 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Hào Nam, Phường Ô Chợ Dừa, Quận Đống Đa, Hà NộiXem bản đồ","4,539 tỷ - 40 m2",4,
41 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa, Hà NộiXem bản đồ","4,5 tỷ - 41 m2",5,
50 m²,6 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Hoàng Văn Thái, Phường Khương Trung, Quận Thanh Xuân, Hà NộiXem bản đồ","7,2 tỷ - 50 m2",,Nở hậu
34 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà NộiXem bản đồ","3,86 tỷ - 34 m2",4,
47 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Yên Hòa, Phường Yên Hoà, Quận Cầu Giấy, Hà NộiXem bản đồ","7,95 tỷ - 47 m2",6,
66 m²,5 phòng,6 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà NộiXem bản đồ","9,9 tỷ - 66 m2",7,
90 m²,8 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Trung Kính, Phường Yên Hoà, Quận Cầu Giấy, Hà NộiXem bản đồ","23,5 tỷ - 90 m2",,
95 m²,10 phòng,6 phòng,,"Nhà mặt phố, mặt tiền",,,"Đào Tấn, Phường Liễu Giai, Quận Ba Đình, Hà NộiXem bản đồ",41 tỷ - 95 m2,88,
250 m²,5 phòng,6 phòng,,Nhà phố liền kề,,,"Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà NộiXem bản đồ",35 tỷ - 250 m2,55,
62 m²,3 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",Đông Nam,,"Phố Tây Sơn, Phường Quang Trung, Quận Đống Đa, Hà NộiXem bản đồ","18,8 tỷ - 62 m2",44,
230 m²,5 phòng,6 phòng,Đã có sổ,Nhà biệt thự,,Nội thất cao cấp,"Định Công, Phường Định Công, Quận Hoàng Mai, Hà NộiXem bản đồ",35 tỷ - 230 m2,4,
55 m²,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà NộiXem bản đồ",10 tỷ - 55 m2,,
55 m²,3 phòng,3 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",,,"Phố Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà NộiXem bản đồ",22 tỷ - 55 m2,,
120 m²,2 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ,"Phố Xã Đàn, Phường Phương Liên, Quận Đống Đa, Hà NộiXem bản đồ",65 tỷ - 120 m2,,Nở hậu
45 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Nguyễn Chí Thanh, Phường Điện Biên, Quận Ba Đình, Hà NộiXem bản đồ","8,8 tỷ - 45 m2",6,
76 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Đường Cầu Ranh, Xã Vĩnh Ngọc, Huyện Đông Anh, Hà NộiXem bản đồ","3,42 tỷ - 76 m2",,
60 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà NộiXem bản đồ","8,2 tỷ - 60 m2",3,
43 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Ngõ 38 - Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà NộiXem bản đồ",7 tỷ - 43 m2,4,
40 m²,4 phòng,,,"Nhà ngõ, hẻm",,,"Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà NộiXem bản đồ",4 tỷ - 40 m2,4,Nở hậu
50 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"nguyễn đình hoàn, Phường Quan Hoa, Quận Cầu Giấy, Hà NộiXem bản đồ","4,9 tỷ - 50 m2",4,
50 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Lương Thế Vinh, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà NộiXem bản đồ",5 tỷ - 50 m2,4,
20 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phố Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà NộiXem bản đồ","2,2 tỷ - 20 m2",4,
46 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Hồ Đắc Di, Phường Nam Đồng, Quận Đống Đa, Hà NộiXem bản đồ","5,599 tỷ - 46 m2",3,
47 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",Tây Bắc,,"14/51, Láng Trung Đống Đa Hà Nội, Phường Láng Hạ, Quận Đống Đa, Hà NộiXem bản đồ",8 tỷ - 47 m2,4,
13 m²,2 phòng,1 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"Ngõ 67, Phường Liễu Giai, Quận Ba Đình, Hà NộiXem bản đồ","1,5 tỷ - 13 m2",,
23 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phố Lò Đúc, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà NộiXem bản đồ",3 tỷ - 23 m2,4,
35 m²,3 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,,"Đường Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà NộiXem bản đồ",3 tỷ - 35 m2,5,
33 m²,3 phòng,,,"Nhà ngõ, hẻm",,,"Trần Thái Tông, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà NộiXem bản đồ","5,45 tỷ - 33 m2",5,
40 m²,4 phòng,,,"Nhà ngõ, hẻm",,Nội thất cao cấp,"Phố Nguyễn Lương Bằng, Phường Nam Đồng, Quận Đống Đa, Hà NộiXem bản đồ","5,45 tỷ - 40 m2",,
66 m²,4 phòng,6 phòng,Đã có sổ,,Đông Nam,,"Phố Đức Giang, Phường Đức Giang, Quận Long Biên, Hà NộiXem bản đồ","8,6 tỷ - 66 m2",5,
48.3 m²,1 phòng,1 phòng,Đã có sổ,"Nhà ngõ, hẻm",Bắc,,"406, 406 lê duẩn đống đa hà nội, Phường Phương Liên, Quận Đống Đa, Hà NộiXem bản đồ","3,5 tỷ - 48.3 m2",1,
5 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"2, Lạc Long Qua, Phường Xuân La, Quận Tây Hồ, Hà NộiXem bản đồ","11,5 tỷ - 5 m2",4,
58 m²,2 phòng,1 phòng,Đang chờ sổ,"Nhà mặt phố, mặt tiền",Đông Nam,,"1, Nguyễn Viết Xu, Phường Quang Trung, Quận Hà Đông, Hà NộiXem bản đồ","1,65 tỷ - 58 m2",1,
35 m²,4 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Ngõ Trung Tả, Phường Khâm Thiên, Quận Đống Đa, Hà NộiXem bản đồ","4,278 tỷ - 35 m2",4,
35 m²,3 phòng,,,"Nhà ngõ, hẻm",,,"Thịnh Quang, Phường Thịnh Quang, Quận Đống Đa, Hà NộiXem bản đồ","4,1 tỷ - 35 m2",,
34.5 m²,3 phòng,3 phòng,,"Nhà ngõ, hẻm",Tây Bắc,Nhà trống,"số 2 ngõ 1139, Đường Chùa Tổng, Xã An Khánh, Huyện Hoài Đức, Hà NộiXem bản đồ","2,55 tỷ - 34.5 m2",,
55 m²,5 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,,"Phố Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà NộiXem bản đồ","4,85 tỷ - 55 m2",5,
43 m²,4 phòng,5 phòng,,"Nhà ngõ, hẻm",,,"Lạc Long Quân, Phường Nghĩa Đô, Quận Cầu Giấy, Hà NộiXem bản đồ","6,35 tỷ - 43 m2",6,
54 m²,7 phòng,Nhiều hơn 6 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất cao cấp,"45 553/108, Đường Giải Phóng, Phường Giáp Bát, Quận Hoàng Mai, Hà NộiXem bản đồ","6,9 tỷ - 54 m2",4,
46.2 m²,2 phòng,2 phòng,Giấy tờ khác,"Nhà ngõ, hẻm",,Nhà trống,"Số nhà 10, Tân khai, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà NộiXem bản đồ","1,8 tỷ - 46.2 m2",,
32 m²,5 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,Nội thất đầy đủ,"Vũ Ngọc Phan, Phường Láng Hạ, Quận Đống Đa, Hà NộiXem bản đồ","4,5 tỷ - 32 m2",,
43 m²,4 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà NộiXem bản đồ","5,7 tỷ - 43 m2",,
56 m²,5 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà NộiXem bản đồ","5,9 tỷ - 56 m2",5,
43.66 m²,4 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,Nội thất đầy đủ,"Phố Ô Đồng Lầm, Phường Phương Liên, Quận Đống Đa, Hà NộiXem bản đồ",12 tỷ - 43.66 m2,4,
29 m²,2 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phố Khâm Thiên, Phường Thổ Quan, Quận Đống Đa, Hà NộiXem bản đồ","6,2 tỷ - 29 m2",,
82 m²,4 phòng,4 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",Tây,,"35, Phố Lương Yên, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà NộiXem bản đồ","21,9 tỷ - 82 m2",5,
25 m²,4 phòng,,,"Nhà ngõ, hẻm",,,"Mình Khai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà NộiXem bản đồ","6,4 tỷ - 25 m2",,
68 m²,4 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,"Nguyễn Xiển, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà NộiXem bản đồ","17,5 tỷ - 68 m2",,
50 m²,5 phòng,4 phòng,Đã có sổ,,Tây Bắc,,"Trung Kính, Phường Yên Hoà, Quận Cầu Giấy, Hà NộiXem bản đồ",10 tỷ - 50 m2,6,
60 m²,4 phòng,,Đã có sổ,"Nhà mặt phố, mặt tiền",,,"Hoàng Văn Thái, Phường Khương Trung, Quận Thanh Xuân, Hà NộiXem bản đồ","7,8 tỷ - 60 m2",,
41 m²,1 phòng,1 phòng,Đã có sổ,"Nhà mặt phố, mặt tiền",Tây Bắc,,"Đường Vạn Xuân, Xã Kim Chung, Huyện Hoài Đức, Hà NộiXem bản đồ","2,97 tỷ - 41 m2",1,
83.8 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",Tây,,"Ngõ 409, Phố Kim Mã, Phường Ngọc Khánh, Quận Ba Đình, Hà NộiXem bản đồ","13,5 tỷ - 83.8 m2",4,
36 m²,4 phòng,4 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Đường Thụy Khuê, Phường Thụy Khuê, Quận Tây Hồ, Hà NộiXem bản đồ","4,65 tỷ - 36 m2",5,
20 m²,1 phòng,1 phòng,Giấy tờ khác,"Nhà ngõ, hẻm",Tây Nam,,"Phố An Dương, Phường Yên Phụ, Quận Tây Hồ, Hà NộiXem bản đồ","1,2 tỷ - 20 m2",2,
30 m²,3 phòng,3 phòng,Đã có sổ,"Nhà ngõ, hẻm",,Nhà trống,"Thanh đàm, Phường Lĩnh Nam, Quận Hoàng Mai, Hà NộiXem bản đồ","2,85 tỷ - 30 m2",4,
66.9 m²,3 phòng,2 phòng,Đã có sổ,"Nhà ngõ, hẻm",Đông Nam,,"Đường tỉnh 420, Xã Bình Yên, Huyện Thạch Thất, Hà NộiXem bản đồ","2,1 tỷ - 66.9 m2",3,
55 m²,8 phòng,,Đã có sổ,"Nhà ngõ, hẻm",,Nội thất đầy đủ,"Phố Yên Lãng, Phường Láng Hạ, Quận Đống Đa, Hà NộiXem bản đồ","7,9 tỷ - 55 m2",6,
34 m²,3 phòng,2 phòng,Đã có sổ,"Nhà ngõ, hẻm",Tây Nam,,"Phố Tây Lai Xá, Xã Kim Chung, Huyện Hoài Đức, Hà NộiXem bản đồ","2,95 tỷ - 34 m2",3,
31 m²,2 phòng,2 phòng,Đã có sổ,"Nhà ngõ, hẻm",Tây Bắc,,"Phố đại đồng, Phường Thịnh Liệt, Quận Hoàng Mai, Hà NộiXem bản đồ","3,3 tỷ - 31 m2",4,
45 m²,3 phòng,,,"Nhà ngõ, hẻm",,,"Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà NộiXem bản đồ","4,3 tỷ - 45 m2",5,
